mode,target,modality,classifier,feature_count_request,feature_count_resolved,feature,selected_folds,outer_folds,selection_frequency,mean_feature_score
general,valence,eeg,gnb,5,5,eeg_hm__C3,1,10,0.1,3.0501304512790486
general,valence,eeg,gnb,5,5,eeg_mf_hz__Fz,1,10,0.1,2.8280064978096275
general,valence,eeg,gnb,5,5,eeg_sd__Oz,1,10,0.1,1.9453766710791771
general,valence,eeg,gnb,5,5,eeg_se_beta__Fz,1,10,0.1,1.9552996582891957
general,valence,eeg,gnb,5,5,eeg_se_theta__Fz,1,10,0.1,1.4112390790241687
general,valence,eeg,gnb,5,5,eeg_bp_alpha__C3,0,10,0.0,0.6141158649466654
general,valence,eeg,gnb,5,5,eeg_bp_alpha__C4,0,10,0.0,1.0615161794072028
general,valence,eeg,gnb,5,5,eeg_bp_alpha__Cz,0,10,0.0,0.6399364082487456
general,valence,eeg,gnb,5,5,eeg_bp_alpha__Fz,0,10,0.0,0.3798529718683797
general,valence,eeg,gnb,5,5,eeg_bp_alpha__Oz,0,10,0.0,1.6638675721197749
general,valence,eeg,gnb,5,5,eeg_bp_alpha__PO7,0,10,0.0,0.5987675252784991
general,valence,eeg,gnb,5,5,eeg_bp_alpha__Pz,0,10,0.0,1.3548537166962746
general,valence,eeg,gnb,5,5,eeg_bp_beta__Cz,0,10,0.0,0.2196803002604235
general,valence,eeg,gnb,5,5,eeg_bp_beta__Oz,0,10,0.0,0.7676052668648299
general,valence,eeg,gnb,5,5,eeg_bp_beta__PO7,0,10,0.0,0.273129659182623
general,valence,eeg,gnb,5,5,eeg_bp_beta__PO8,0,10,0.0,0.37599441514662557
general,valence,eeg,gnb,5,5,eeg_bp_beta__Pz,0,10,0.0,0.1484611325405744
general,valence,eeg,gnb,5,5,eeg_bp_delta__C3,0,10,0.0,0.069494125987881
general,valence,eeg,gnb,5,5,eeg_bp_delta__C4,0,10,0.0,1.6476180524565571
general,valence,eeg,gnb,5,5,eeg_bp_delta__Fz,0,10,0.0,0.21190665101473502
general,valence,eeg,gnb,5,5,eeg_bp_delta__Oz,0,10,0.0,1.2620752252959269
general,valence,eeg,gnb,5,5,eeg_bp_delta__PO8,0,10,0.0,0.5414262851284953
general,valence,eeg,gnb,5,5,eeg_bp_delta__Pz,0,10,0.0,1.7455346230824378
general,valence,eeg,gnb,5,5,eeg_bp_gamma__C3,0,10,0.0,1.5387246421988077
general,valence,eeg,gnb,5,5,eeg_bp_gamma__C4,0,10,0.0,0.1320442103337675
general,valence,eeg,gnb,5,5,eeg_bp_gamma__Cz,0,10,0.0,0.7917141756246175
general,valence,eeg,gnb,5,5,eeg_bp_gamma__Fz,0,10,0.0,1.3577528946032964
general,valence,eeg,gnb,5,5,eeg_bp_gamma__Oz,0,10,0.0,1.057957598800848
general,valence,eeg,gnb,5,5,eeg_bp_gamma__PO7,0,10,0.0,0.6830114101687138
general,valence,eeg,gnb,5,5,eeg_bp_gamma__PO8,0,10,0.0,0.19163775746205067
general,valence,eeg,gnb,5,5,eeg_bp_gamma__Pz,0,10,0.0,0.3852366694479132
general,valence,eeg,gnb,5,5,eeg_bp_theta__C4,0,10,0.0,1.6538924923696676
general,valence,eeg,gnb,5,5,eeg_bp_theta__Cz,0,10,0.0,0.43079047789550506
general,valence,eeg,gnb,5,5,eeg_bp_theta__Fz,0,10,0.0,0.10195791587411614
general,valence,eeg,gnb,5,5,eeg_bp_theta__Oz,0,10,0.0,0.9604587610948452
general,valence,eeg,gnb,5,5,eeg_bp_theta__PO7,0,10,0.0,1.931707547753512
general,valence,eeg,gnb,5,5,eeg_bp_theta__PO8,0,10,0.0,0.2361589929086275
general,valence,eeg,gnb,5,5,eeg_bp_theta__Pz,0,10,0.0,1.6533240780452547
general,valence,eeg,gnb,5,5,eeg_hc__C3,0,10,0.0,1.0365991748913381
general,valence,eeg,gnb,5,5,eeg_hc__C4,0,10,0.0,0.5026911934384461
general,valence,eeg,gnb,5,5,eeg_hc__Cz,0,10,0.0,0.15937393313517256
general,valence,eeg,gnb,5,5,eeg_hc__Fz,0,10,0.0,0.4138446226759992
general,valence,eeg,gnb,5,5,eeg_hc__Oz,0,10,0.0,1.2400565106649277
general,valence,eeg,gnb,5,5,eeg_hc__PO7,0,10,0.0,0.40175025640339435
general,valence,eeg,gnb,5,5,eeg_hc__PO8,0,10,0.0,0.9187766457697986
general,valence,eeg,gnb,5,5,eeg_hc__Pz,0,10,0.0,1.1586212398605462
general,valence,eeg,gnb,5,5,eeg_hm__C4,0,10,0.0,0.09154157944473848
general,valence,eeg,gnb,5,5,eeg_hm__Cz,0,10,0.0,0.26629349848208955
general,valence,eeg,gnb,5,5,eeg_hm__Fz,0,10,0.0,1.2702021965371446
general,valence,eeg,gnb,5,5,eeg_hm__PO7,0,10,0.0,0.14857109735053914
general,valence,eeg,gnb,5,5,eeg_hm__PO8,0,10,0.0,0.36348332541932094
general,valence,eeg,gnb,5,5,eeg_mf_hz__C4,0,10,0.0,0.7846136899383452
general,valence,eeg,gnb,5,5,eeg_mf_hz__Cz,0,10,0.0,1.983398063629306
general,valence,eeg,gnb,5,5,eeg_mf_hz__Oz,0,10,0.0,0.19591448956006235
general,valence,eeg,gnb,5,5,eeg_mf_hz__PO7,0,10,0.0,1.366897278057929
general,valence,eeg,gnb,5,5,eeg_mf_hz__PO8,0,10,0.0,0.4118470966721965
general,valence,eeg,gnb,5,5,eeg_mf_hz__Pz,0,10,0.0,1.814270155011691
general,valence,eeg,gnb,5,5,eeg_sd__C3,0,10,0.0,0.4345692563053444
general,valence,eeg,gnb,5,5,eeg_sd__C4,0,10,0.0,0.38076479903588073
general,valence,eeg,gnb,5,5,eeg_sd__Cz,0,10,0.0,1.0467131477429175
general,valence,eeg,gnb,5,5,eeg_sd__Fz,0,10,0.0,0.35602786990583135
general,valence,eeg,gnb,5,5,eeg_sd__PO7,0,10,0.0,1.6974327954650454
general,valence,eeg,gnb,5,5,eeg_sd__PO8,0,10,0.0,0.7041864954514601
general,valence,eeg,gnb,5,5,eeg_sd__Pz,0,10,0.0,1.4482026262956835
general,valence,eeg,gnb,5,5,eeg_se__C3,0,10,0.0,0.6573524394025552
general,valence,eeg,gnb,5,5,eeg_se__C4,0,10,0.0,1.454054795197145
general,valence,eeg,gnb,5,5,eeg_se__Cz,0,10,0.0,0.45046868486415087
general,valence,eeg,gnb,5,5,eeg_se__Fz,0,10,0.0,1.2558095332688346
general,valence,eeg,gnb,5,5,eeg_se__Oz,0,10,0.0,1.2970646891853224
general,valence,eeg,gnb,5,5,eeg_se__PO7,0,10,0.0,0.28575377411257663
general,valence,eeg,gnb,5,5,eeg_se__PO8,0,10,0.0,1.7176134182666687
general,valence,eeg,gnb,5,5,eeg_se_alpha__C3,0,10,0.0,0.7398474869437216
general,valence,eeg,gnb,5,5,eeg_se_alpha__C4,0,10,0.0,0.12144291048297429
general,valence,eeg,gnb,5,5,eeg_se_alpha__Cz,0,10,0.0,1.4064126881274046
general,valence,eeg,gnb,5,5,eeg_se_alpha__Fz,0,10,0.0,0.460963708726897
general,valence,eeg,gnb,5,5,eeg_se_alpha__Oz,0,10,0.0,0.8849387203566644
general,valence,eeg,gnb,5,5,eeg_se_alpha__PO7,0,10,0.0,0.252208767134287
general,valence,eeg,gnb,5,5,eeg_se_alpha__PO8,0,10,0.0,0.15819661314832711
general,valence,eeg,gnb,5,5,eeg_se_beta__C3,0,10,0.0,2.6337075437143573
general,valence,eeg,gnb,5,5,eeg_se_beta__C4,0,10,0.0,0.2672172552900936
general,valence,eeg,gnb,5,5,eeg_se_beta__Cz,0,10,0.0,0.17965077195166873
general,valence,eeg,gnb,5,5,eeg_se_beta__Oz,0,10,0.0,1.4221118598172586
general,valence,eeg,gnb,5,5,eeg_se_beta__PO7,0,10,0.0,0.4206002158579404
general,valence,eeg,gnb,5,5,eeg_se_beta__PO8,0,10,0.0,0.5568337064228354
general,valence,eeg,gnb,5,5,eeg_se_beta__Pz,0,10,0.0,1.5077014613673612
general,valence,eeg,gnb,5,5,eeg_se_delta__C4,0,10,0.0,1.8375837887742361
general,valence,eeg,gnb,5,5,eeg_se_delta__Cz,0,10,0.0,0.23706283460105343
general,valence,eeg,gnb,5,5,eeg_se_delta__Fz,0,10,0.0,0.1029391241257221
general,valence,eeg,gnb,5,5,eeg_se_delta__Oz,0,10,0.0,0.9604096455914435
general,valence,eeg,gnb,5,5,eeg_se_delta__PO7,0,10,0.0,0.10222452709848211
general,valence,eeg,gnb,5,5,eeg_se_delta__PO8,0,10,0.0,0.2504764084186931
general,valence,eeg,gnb,5,5,eeg_se_delta__Pz,0,10,0.0,0.04505372001475116
general,valence,eeg,gnb,5,5,eeg_se_gamma__C3,0,10,0.0,2.187408271085766
general,valence,eeg,gnb,5,5,eeg_se_gamma__C4,0,10,0.0,1.8770206854648723
general,valence,eeg,gnb,5,5,eeg_se_gamma__Cz,0,10,0.0,0.4269592279394131
general,valence,eeg,gnb,5,5,eeg_se_gamma__Fz,0,10,0.0,0.8176448683150989
general,valence,eeg,gnb,5,5,eeg_se_gamma__Oz,0,10,0.0,0.11264068198729756
general,valence,eeg,gnb,5,5,eeg_se_gamma__PO7,0,10,0.0,0.35909748089555327
general,valence,eeg,gnb,5,5,eeg_se_gamma__PO8,0,10,0.0,0.4328431898312573
general,valence,eeg,gnb,5,5,eeg_se_gamma__Pz,0,10,0.0,0.09880002030623819
general,valence,eeg,gnb,5,5,eeg_se_theta__C3,0,10,0.0,0.6196645318375884
general,valence,eeg,gnb,5,5,eeg_se_theta__C4,0,10,0.0,0.13993419593302608
general,valence,eeg,gnb,5,5,eeg_se_theta__Cz,0,10,0.0,1.0461395332275023
general,valence,eeg,gnb,5,5,eeg_se_theta__Oz,0,10,0.0,1.037970740416857
general,valence,eeg,gnb,5,5,eeg_se_theta__PO7,0,10,0.0,1.018113532465382
general,valence,eeg,gnb,5,5,eeg_se_theta__PO8,0,10,0.0,0.17124124082921982
general,valence,eeg,gnb,5,5,eeg_se_theta__Pz,0,10,0.0,0.9977209893752725
general,valence,eeg,gnb,all,all,eeg_bp_alpha__C3,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_bp_alpha__C4,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_bp_alpha__Cz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_bp_alpha__Fz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_bp_alpha__Oz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_bp_alpha__PO7,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_bp_alpha__PO8,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_bp_alpha__Pz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_bp_beta__C3,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_bp_beta__C4,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_bp_beta__Cz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_bp_beta__Fz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_bp_beta__Oz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_bp_beta__PO7,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_bp_beta__PO8,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_bp_beta__Pz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_bp_delta__C3,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_bp_delta__C4,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_bp_delta__Cz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_bp_delta__Fz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_bp_delta__Oz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_bp_delta__PO7,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_bp_delta__PO8,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_bp_delta__Pz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_bp_gamma__C3,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_bp_gamma__C4,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_bp_gamma__Cz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_bp_gamma__Fz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_bp_gamma__Oz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_bp_gamma__PO7,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_bp_gamma__PO8,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_bp_gamma__Pz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_bp_theta__C3,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_bp_theta__C4,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_bp_theta__Cz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_bp_theta__Fz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_bp_theta__Oz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_bp_theta__PO7,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_bp_theta__PO8,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_bp_theta__Pz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_hc__C3,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_hc__C4,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_hc__Cz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_hc__Fz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_hc__Oz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_hc__PO7,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_hc__PO8,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_hc__Pz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_hm__C3,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_hm__C4,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_hm__Cz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_hm__Fz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_hm__Oz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_hm__PO7,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_hm__PO8,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_hm__Pz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_mf_hz__C3,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_mf_hz__C4,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_mf_hz__Cz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_mf_hz__Fz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_mf_hz__Oz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_mf_hz__PO7,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_mf_hz__PO8,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_mf_hz__Pz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_sd__C3,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_sd__C4,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_sd__Cz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_sd__Fz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_sd__Oz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_sd__PO7,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_sd__PO8,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_sd__Pz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se__C3,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se__C4,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se__Cz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se__Fz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se__Oz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se__PO7,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se__PO8,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se__Pz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se_alpha__C3,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se_alpha__C4,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se_alpha__Cz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se_alpha__Fz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se_alpha__Oz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se_alpha__PO7,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se_alpha__PO8,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se_alpha__Pz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se_beta__C3,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se_beta__C4,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se_beta__Cz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se_beta__Fz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se_beta__Oz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se_beta__PO7,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se_beta__PO8,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se_beta__Pz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se_delta__C3,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se_delta__C4,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se_delta__Cz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se_delta__Fz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se_delta__Oz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se_delta__PO7,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se_delta__PO8,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se_delta__Pz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se_gamma__C3,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se_gamma__C4,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se_gamma__Cz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se_gamma__Fz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se_gamma__Oz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se_gamma__PO7,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se_gamma__PO8,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se_gamma__Pz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se_theta__C3,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se_theta__C4,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se_theta__Cz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se_theta__Fz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se_theta__Oz,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se_theta__PO7,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se_theta__PO8,10,10,1.0,
general,valence,eeg,gnb,all,all,eeg_se_theta__Pz,10,10,1.0,
general,valence,eeg,knn,10,10,eeg_se__Pz,9,10,0.9,4.868389263807148
general,valence,eeg,knn,10,10,eeg_se_delta__C3,9,10,0.9,4.304413406360116
general,valence,eeg,knn,10,10,eeg_bp_beta__C3,8,10,0.8,3.7618604308083334
general,valence,eeg,knn,10,10,eeg_bp_delta__PO7,8,10,0.8,3.779001979771814
general,valence,eeg,knn,10,10,eeg_hm__Pz,8,10,0.8,4.577553638909317
general,valence,eeg,knn,10,10,eeg_mf_hz__C3,7,10,0.7,3.906733674084265
general,valence,eeg,knn,10,10,eeg_se_alpha__Pz,7,10,0.7,3.825867739830617
general,valence,eeg,knn,10,10,eeg_hm__Oz,5,10,0.5,3.527809902913939
general,valence,eeg,knn,10,10,eeg_bp_beta__Fz,4,10,0.4,3.053503803719475
general,valence,eeg,knn,10,10,eeg_hm__C3,4,10,0.4,3.0501304512790486
general,valence,eeg,knn,10,10,eeg_mf_hz__Fz,4,10,0.4,2.8280064978096275
general,valence,eeg,knn,10,10,eeg_se_beta__C3,3,10,0.3,2.6337075437143573
general,valence,eeg,knn,10,10,eeg_se_delta__C4,3,10,0.3,1.8375837887742361
general,valence,eeg,knn,10,10,eeg_bp_alpha__PO8,2,10,0.2,2.326193555449074
general,valence,eeg,knn,10,10,eeg_bp_beta__C4,2,10,0.2,1.7150510700563733
general,valence,eeg,knn,10,10,eeg_se_beta__Fz,2,10,0.2,1.9552996582891957
general,valence,eeg,knn,10,10,eeg_bp_alpha__Oz,1,10,0.1,1.6638675721197749
general,valence,eeg,knn,10,10,eeg_bp_delta__C4,1,10,0.1,1.6476180524565571
general,valence,eeg,knn,10,10,eeg_bp_delta__Cz,1,10,0.1,1.2697226371880859
general,valence,eeg,knn,10,10,eeg_bp_gamma__C3,1,10,0.1,1.5387246421988077
general,valence,eeg,knn,10,10,eeg_bp_theta__C3,1,10,0.1,0.7790737692757301
general,valence,eeg,knn,10,10,eeg_bp_theta__Cz,1,10,0.1,0.43079047789550506
general,valence,eeg,knn,10,10,eeg_sd__Cz,1,10,0.1,1.0467131477429175
general,valence,eeg,knn,10,10,eeg_sd__Oz,1,10,0.1,1.9453766710791771
general,valence,eeg,knn,10,10,eeg_sd__PO7,1,10,0.1,1.6974327954650454
general,valence,eeg,knn,10,10,eeg_se__PO8,1,10,0.1,1.7176134182666687
general,valence,eeg,knn,10,10,eeg_se_alpha__Oz,1,10,0.1,0.8849387203566644
general,valence,eeg,knn,10,10,eeg_se_beta__Oz,1,10,0.1,1.4221118598172586
general,valence,eeg,knn,10,10,eeg_se_beta__Pz,1,10,0.1,1.5077014613673612
general,valence,eeg,knn,10,10,eeg_se_gamma__C3,1,10,0.1,2.187408271085766
general,valence,eeg,knn,10,10,eeg_se_theta__Fz,1,10,0.1,1.4112390790241687
general,valence,eeg,knn,10,10,eeg_bp_alpha__C3,0,10,0.0,0.6141158649466654
general,valence,eeg,knn,10,10,eeg_bp_alpha__C4,0,10,0.0,1.0615161794072028
general,valence,eeg,knn,10,10,eeg_bp_alpha__Cz,0,10,0.0,0.6399364082487456
general,valence,eeg,knn,10,10,eeg_bp_alpha__Fz,0,10,0.0,0.3798529718683797
general,valence,eeg,knn,10,10,eeg_bp_alpha__PO7,0,10,0.0,0.5987675252784991
general,valence,eeg,knn,10,10,eeg_bp_alpha__Pz,0,10,0.0,1.3548537166962746
general,valence,eeg,knn,10,10,eeg_bp_beta__Cz,0,10,0.0,0.2196803002604235
general,valence,eeg,knn,10,10,eeg_bp_beta__Oz,0,10,0.0,0.7676052668648299
general,valence,eeg,knn,10,10,eeg_bp_beta__PO7,0,10,0.0,0.273129659182623
general,valence,eeg,knn,10,10,eeg_bp_beta__PO8,0,10,0.0,0.37599441514662557
general,valence,eeg,knn,10,10,eeg_bp_beta__Pz,0,10,0.0,0.1484611325405744
general,valence,eeg,knn,10,10,eeg_bp_delta__C3,0,10,0.0,0.069494125987881
general,valence,eeg,knn,10,10,eeg_bp_delta__Fz,0,10,0.0,0.21190665101473502
general,valence,eeg,knn,10,10,eeg_bp_delta__Oz,0,10,0.0,1.2620752252959269
general,valence,eeg,knn,10,10,eeg_bp_delta__PO8,0,10,0.0,0.5414262851284953
general,valence,eeg,knn,10,10,eeg_bp_delta__Pz,0,10,0.0,1.7455346230824378
general,valence,eeg,knn,10,10,eeg_bp_gamma__C4,0,10,0.0,0.1320442103337675
general,valence,eeg,knn,10,10,eeg_bp_gamma__Cz,0,10,0.0,0.7917141756246175
general,valence,eeg,knn,10,10,eeg_bp_gamma__Fz,0,10,0.0,1.3577528946032964
general,valence,eeg,knn,10,10,eeg_bp_gamma__Oz,0,10,0.0,1.057957598800848
general,valence,eeg,knn,10,10,eeg_bp_gamma__PO7,0,10,0.0,0.6830114101687138
general,valence,eeg,knn,10,10,eeg_bp_gamma__PO8,0,10,0.0,0.19163775746205067
general,valence,eeg,knn,10,10,eeg_bp_gamma__Pz,0,10,0.0,0.3852366694479132
general,valence,eeg,knn,10,10,eeg_bp_theta__C4,0,10,0.0,1.6538924923696676
general,valence,eeg,knn,10,10,eeg_bp_theta__Fz,0,10,0.0,0.10195791587411614
general,valence,eeg,knn,10,10,eeg_bp_theta__Oz,0,10,0.0,0.9604587610948452
general,valence,eeg,knn,10,10,eeg_bp_theta__PO7,0,10,0.0,1.931707547753512
general,valence,eeg,knn,10,10,eeg_bp_theta__PO8,0,10,0.0,0.2361589929086275
general,valence,eeg,knn,10,10,eeg_bp_theta__Pz,0,10,0.0,1.6533240780452547
general,valence,eeg,knn,10,10,eeg_hc__C3,0,10,0.0,1.0365991748913381
general,valence,eeg,knn,10,10,eeg_hc__C4,0,10,0.0,0.5026911934384461
general,valence,eeg,knn,10,10,eeg_hc__Cz,0,10,0.0,0.15937393313517256
general,valence,eeg,knn,10,10,eeg_hc__Fz,0,10,0.0,0.4138446226759992
general,valence,eeg,knn,10,10,eeg_hc__Oz,0,10,0.0,1.2400565106649277
general,valence,eeg,knn,10,10,eeg_hc__PO7,0,10,0.0,0.40175025640339435
general,valence,eeg,knn,10,10,eeg_hc__PO8,0,10,0.0,0.9187766457697986
general,valence,eeg,knn,10,10,eeg_hc__Pz,0,10,0.0,1.1586212398605462
general,valence,eeg,knn,10,10,eeg_hm__C4,0,10,0.0,0.09154157944473848
general,valence,eeg,knn,10,10,eeg_hm__Cz,0,10,0.0,0.26629349848208955
general,valence,eeg,knn,10,10,eeg_hm__Fz,0,10,0.0,1.2702021965371446
general,valence,eeg,knn,10,10,eeg_hm__PO7,0,10,0.0,0.14857109735053914
general,valence,eeg,knn,10,10,eeg_hm__PO8,0,10,0.0,0.36348332541932094
general,valence,eeg,knn,10,10,eeg_mf_hz__C4,0,10,0.0,0.7846136899383452
general,valence,eeg,knn,10,10,eeg_mf_hz__Cz,0,10,0.0,1.983398063629306
general,valence,eeg,knn,10,10,eeg_mf_hz__Oz,0,10,0.0,0.19591448956006235
general,valence,eeg,knn,10,10,eeg_mf_hz__PO7,0,10,0.0,1.366897278057929
general,valence,eeg,knn,10,10,eeg_mf_hz__PO8,0,10,0.0,0.4118470966721965
general,valence,eeg,knn,10,10,eeg_mf_hz__Pz,0,10,0.0,1.814270155011691
general,valence,eeg,knn,10,10,eeg_sd__C3,0,10,0.0,0.4345692563053444
general,valence,eeg,knn,10,10,eeg_sd__C4,0,10,0.0,0.38076479903588073
general,valence,eeg,knn,10,10,eeg_sd__Fz,0,10,0.0,0.35602786990583135
general,valence,eeg,knn,10,10,eeg_sd__PO8,0,10,0.0,0.7041864954514601
general,valence,eeg,knn,10,10,eeg_sd__Pz,0,10,0.0,1.4482026262956835
general,valence,eeg,knn,10,10,eeg_se__C3,0,10,0.0,0.6573524394025552
general,valence,eeg,knn,10,10,eeg_se__C4,0,10,0.0,1.454054795197145
general,valence,eeg,knn,10,10,eeg_se__Cz,0,10,0.0,0.45046868486415087
general,valence,eeg,knn,10,10,eeg_se__Fz,0,10,0.0,1.2558095332688346
general,valence,eeg,knn,10,10,eeg_se__Oz,0,10,0.0,1.2970646891853224
general,valence,eeg,knn,10,10,eeg_se__PO7,0,10,0.0,0.28575377411257663
general,valence,eeg,knn,10,10,eeg_se_alpha__C3,0,10,0.0,0.7398474869437216
general,valence,eeg,knn,10,10,eeg_se_alpha__C4,0,10,0.0,0.12144291048297429
general,valence,eeg,knn,10,10,eeg_se_alpha__Cz,0,10,0.0,1.4064126881274046
general,valence,eeg,knn,10,10,eeg_se_alpha__Fz,0,10,0.0,0.460963708726897
